"Framingham","Framingham High School"
"Milton","Pierce Middle School"
"William Floyd","William Floyd Middle School"
"Waterville Central","Waterville High School"
"NYC Geographic #18","P.S. 235 - Lennox School"
"Greenburgh Central","Woodlands High School"
"Great Neck","Village School"
